test name                     | collection  |    runs |     min (s) |     max (s) |     avg (s)
lookup-hash-number            | 10k         |       5 |      0.0928 |      0.1010 |      0.0963
lookup-hash-number            | 100k        |       5 |      0.0931 |      0.0994 |      0.0966
lookup-hash-number            | 1000k       |       5 |      0.0961 |      0.1017 |      0.0976
lookup-hash-string            | 10k         |       5 |      0.1216 |      0.1303 |      0.1260
lookup-hash-string            | 100k        |       5 |      0.1222 |      0.1314 |      0.1269
lookup-hash-string            | 1000k       |       5 |      0.1236 |      0.1320 |      0.1295
lookup-skiplist-number        | 10k         |       5 |      0.1179 |      0.1251 |      0.1203
lookup-skiplist-number        | 100k        |       5 |      0.1149 |      0.1205 |      0.1174
lookup-skiplist-number        | 1000k       |       5 |      0.1155 |      0.1217 |      0.1191
lookup-skiplist-string        | 10k         |       5 |      0.1820 |      0.1879 |      0.1851
lookup-skiplist-string        | 100k        |       5 |      0.2050 |      0.2096 |      0.2070
lookup-skiplist-string        | 1000k       |       5 |      0.2375 |      0.2397 |      0.2389

